"Invalid days count:","Неправильное количество дней:"
"Product as NewFromTo","Новизна товара"
"Module Settings","Настройки"
"Is enable","Включен"
"Config","Конфигурация"
"How many days after products becomes new","Через сколько дней установить товар как новый?"
"How many days products are new","Сколько дней товар будет считаться новым?"
"Leave empty if you need now date","Оставьте поле пустым и товар будет считаться новым с текущего дня"
"Yes","Да"
"No","Нет"
"<strong style='color:red'>Attention!</strong> Configuration apply only for created products after enable this module. For older products must specify manually.","<strong style='color:red'>Внимание!</strong> Конфигурация применяется только для продуктов созданных после включения этого модуля. Для продуктов созданных ранее, следует устанавливать даты вручную."
"Extension: Product as NewFromTo","Extension: Новизна товара"
