"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s добавлен в ваш список желаний. Нажмите <a href=""%2$s"">сюда</a>, чтобы продолжить выбор товаров."
"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s добавлен в ваш список желаний. Нажмите <a href=""%2$s"">сюда</a>, чтобы продолжить выбор товаров."
"%1$s has been updated in your wishlist.","%1$s обновлён в вашем списке желаний."
"%d product(s) have been added to shopping cart: %s.","Добавлено в корзину: %d шт. (%s)."
"%s for ""%s"".","%s для ""%s""."
"%s has been moved to wishlist %s","%s перемещён в список желаний %s"
"%s's Wishlist","Список желаний пользователя %s"
"* Required Fields","* Обязательные поля"
"Add All to Cart","Добавить все в корзину"
"Add to Cart","Купить"
"Add to Compare","Добавить в сравнение"
"Add to Wishlist","Добавить в список желаний"
"Added From","Добавлено из"
"Added On","Добавлено"
"An error occurred while adding item to wishlist.","Ошибка при добавлении позиции в список желаний."
"An error occurred while adding item to wishlist: %s","Ошибка при добавлении позиции в список желаний: %s"
"An error occurred while deleting the item from wishlist.","Ошибка при удалении позиции из списка желаний."
"An error occurred while deleting the item from wishlist: %s","Ошибка при удалении позиции из списка желаний: %s"
"An error occurred while updating wishlist.","Ошибка при обновлении списка желаний."
"Are you sure you want to remove this product from your wishlist?","Вы действительно хотите удалить этот товар из вашего списка желаний?"
"Are you sure you would like to remove this item from the wishlist?","Вы действительно хотите удалить этот товар из списка желаний?"
"Back","Вернуться"
"Can\'t delete item from wishlist","Невозможно удалить позицию из списка желаний"
"Can\'t save description %s","Невозможно сохранить описание %s"
"Can\'t update wishlist","Невозможно обновить список желаний"
"Cannot add item to shopping cart","Невозможно добавить позицию в корзину покупок"
"Cannot add the following product(s) to shopping cart: %s.","Невозможно добавить следующие товары в корзину покупок: %s."
"Cannot add the item to shopping cart.","Невозможно добавить позицию в корзину покупок."
"Cannot configure product","Невозможно настроить товар"
"Cannot create wishlist.","Невозможно создать список желаний."
"Cannot load wishlist item","Невозможно загрузить позицию списка желаний"
"Cannot move item to wishlist","Невозможно переместить позицию в список желаний"
"Cannot specify product.","Невозможно определить товар."
"Cannot specify wishlist item.","Невозможно определить позицию списка желаний."
"Cannot specify wishlist.","Невозможно определить список желаний."
"Cannot update wishlist","Невозможно обновить список желаний"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Установите этот флажок, если хотите добавить ссылку на rss канал для вашего списка желаний."
"Click for price","Узнать цену"
"Comment","Комментарий"
"Comment:","Комментарий:"
"Configure Wishlist Item","Настроить позицию списка желаний"
"Configured Price:","Цена с параметрами:"
"Could not find such wishlist","Список желаний не найден"
"Could not find wishlist","Список желаний не найден"
"Customer My Account My Wishlist","Учётная запись клиента. Мой список желаний"
"Customer My Account Wishlist Sharing Form","Учётная запись клиента. Форма публикации списка желаний"
"Customer Shared Wishlist View","Вид опубликованного списка желаний клиента"
"Date Added","Дата добавления"
"Days in Wishlist","Дней в списке желаний"
"Display Wishlist Summary","Отображать сводку списка желаний"
"Edit","Редактировать"
"Email Sender","Электронная почта (email). Отправитель"
"Email Template","Электронная почта (email). Шаблон"
"Email address can\'t be empty.","Адрес электронной почты (email) не может быть пустым."
"Email addresses, separated by commas","Адреса электронной почты (emails), разделённые запятыми"
"Enabled","Включено"
"General Options","Общие параметры"
"Go to Wishlist","Перейти в список желаний"
"Helper for wishlist options rendering doesn't implement required interface.","Helper for wishlist options rendering doesn't implement required interface."
"In stock","В наличии"
"Last Added Items","Последние добавленные позиции"
"Message","Сообщение"
"My Wishlist","Мой список желаний"
"My Wishlist (%d item)","Мой список желаний (%d шт.)"
"My Wishlist (%d items)","Мой список желаний (%d шт.)"
"My Wishlist <small>(%d)</small>","Список желаний <small>(%d)</small>"
"My Wishlist Link","Мой список желаний. Ссылка"
"Options Details","Параметры"
"Out of stock","Нет в наличии"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Пожалуйста, введите правильные адреса электронной почты (emails), разделённые запятыми. Например: ivanivanov@domain.com, ivanpetrov@domain.com."
