"Generate Meta Title", "Генерировать Meta Title"
"Generate Meta Keywords", "Генерировать Meta Keywords"
"Generate Meta Description", "Генерировать Meta Description"
"Auto generated value", "Значение сгенерированное автоматически"
"You need update indexes", "Необходимо обновить индексы"
"Category Metatag Indexer","Индексер категорий Qmage Metatag"
"Reindex category metatags","Реиндексировать метатаги для категорий"
"Product Image Alt Metatag Indexer","Индексер alt для изображений продуктов Qmage Metatag"
"Reindex product images labels metatags","Реиндексировать alt для изображений продуктов"
"Product Metatag Indexer","Индексер продуктов Qmage Metatag"
"Reindex products metatags","Реиндексировать метатаги для продуктов"
"Metatag","Метатаги"
"Product","Продукт"
"Product meta title","Meta title для продукта"
"Product meta keyword","Meta keyword для продукта"
"Product meta description","Meta description для продукта"
"Reindex All Products(not only generated by this module)","Реиндексировать все продукты(а не только сгенерированные этим модулем)"
"Reindex Only Products In Active Stores","Реиндексировать только продукты в активных магазинах"
"Add Metadata On Product Save","Добавлять мета данные при сохранении продукта"
"Use title attr","Добавлять meta title"
"Use keyword attr","Добавлять meta keyword"
"Use description attr","Добавлять meta description"
"Category","Категория"
"Category meta title","Meta title для категории"
"Category meta keyword","Meta keyword для категории"
"Category meta description","Meta description для категории"
"Reindex all category(not only generated by this module)","Реиндексировать все категории(а не только сгенерированные этим модулем)"
"Reindex only category in active stores","Реиндексировать только категории в активных магазинах"
"Add metadata on category save","Добавлять мета данные при сохранении категории"
"Use title attr","Добавлять title attr"
"Use keyword attr","Добавлять keyword attr"
"Use description attr","Добавлять description attr"
"Product Image Alt","Alt изображений продукта"
"Main Image Alt Rule","Правила для alt атрибута главной картинки продукта"
"Image Alt Rule","Правила для alt атрибутов картинок продукта"
"Reindex All Product Image Alts(not only generated by this module)","Реиндексировать все alt атрибуты(а не только сгенерированные этим модулем)"
"Reindex Only Product Image Alts In Active Stores","Реиндексировать только alt атрибуты в активных магазинах"
"Add Image Alt On Product Save","Добавлять alt атрибуты при сохранении продукта"

"{{attribute name}}, {{category_names}} - for comma separated product categories", "{{код атрибута}}, {{category_names}} - для имен категорий разделенных запятой"
"{{attribute name}}", "{{код атрибута}}"
"{{product attribute name}}", "{{код атрибута продукта}}"
"{{product attribute name}}. New rule on new line. Rules will be loop over images", "{{код атрибута продукта}}. Каждое новое правило на новой строчке. Правила будут циклично повторяться применяясь"
